"PRODUCTS_MODEL" "count"
"TMK0605" 0
"TMK3611" 2
"TMK3734" 0
"TMK3935" 2
"TMK3503" 0
"TML51" 0
"TMFM2323" 0
"TMFM4141" 0
"TMFM4343" 0
"TMFM4545" 0
"TMFM4747" 0
"TMHM2323" 0
"TMHM4141" 0
"TMHM4343" 0
"TMHM4545" 0
"TMHM4747" 0
"TMLR" 0
"TMNET01" 0
"TMNET24" 0
"TMNET07" 0
"TMBPP05" 0
"TMCmixed" 0
"TMOmixed" 0
"TMFMmixed" 0
"TMHMmixed" 0
"TMKmixed" 0
"TMNR" 2
"TMBINER1" 0
"TMTARP" 0
"TMKBMIXED" 0
"TMBPMIXED" 0
"TMHSmixed" 0
"TMMImixed2" 0
"TMMCmixed" 0
"TMFRISmixed" 0
"TMSHIRTM" 0
"TMSHIRTF" 0
"TMMmixed" 0
"TMO3006" 0
"TMO2110" 0
"TMO2839" 0
"TMO1411" 0
"TMO1517" 0
"TMMI1411" 0
"TMMI2110" 0
"TMMMC35" 0
"TMM3539" 0
"TMBBMIXED" 0
"TMBB1535" 0
"TMBP1535" 0
"TMK0630" 0
"TMBP2139" 0
"TMU3734" 0
"TMU2130" 0
"TMU0605" 0
"TMU3935" 0
"TMU0837" 0
"TMU3503" 0
"TMU3611" 0
"TMU1439" 0
"TMU2422" 2
"TMUmixed" 0
"TMBPP34" 0
"TMM2422" 0
"TMBPP03" 0
"TMBPP15" 0
"TMM0837" 0
"TMM1439" 0
"TMBPP07" 0
"TMM1503" 0
"TMM2130" 0
"TMM0605" 0
"TMM3611" 0
"TMM3734" 2
"TMM3935" 2
"TMM3503" 0
"TMMC01" 10
"TMMC35" 2
"TMMC30" 3
"TMMC34" 6
"TMMC14" 1
"TMMC39" 9
"TMMC07" 5
"TMMC03" 0
"TMMC08" 0
"TMMC24" 0
"TMBB2422" 0
"TMBB0837" 5
"TMBB1439" 0
"TMBB1503" 0
"TMBB2130" 1
"TMBB0605" 0
"TMBB3611" 0
"TMBB3734" 0
"TMBB3935" 3
"TMBB3503" 0
"TMBPPMIXED" 0
"TMD0605" 0
"TMMMC0535" 0
"TMD3406" 3
"TMDS3634" 1
"TMBP1505" 0
"TMMI3034" 0
"TMMI2831" 0
"TMMI0101" 0
"TMMI2121" 0
"TMMI0837" 0
"TMMI3506" 0
"TMMI2811" 0
"TMMI1819" 0
"TMMI3737" 0
"TMBP0824" 0
"TMS3406" 2
"TMBP0635" 0
"TMBP0710" 0
"TMBP0640" 0
"TMSS3901" 2
"TMSS1402" 2
"TMSSmixed2" 0
"TMS3734" 2
"TMS370534" 0
"TMScamo" 1
"TMS0534" 0
"TMS2830" 0
"TMS3507" 0
"TMS01" 2
"TMSS0928" 2
"TMSS3634" 2
"TMS3935" 4
"TMS0535" 5
"TMS2422" 9
"TMS3914" 3
"TMS2408" 6
"TMS3437" 32
"TMDmixed" 0
"TMD3707" 3
"TMD0837" 3
"TMD0311" 3
"TMD0803" 1
"TMD3437" 72
"TMD1439" 1
"TMD3914" 9
"TMD3937" 21
"TMD0335" 8
"TMDS3424" 1
"TMDS3437" 1
"TMDS2408" 1
"TMD2422" 4
"TMDS1739" 1
"TMD0203" 3
"TMDS2814" 1
"TMDS3039" 1
"TMDS0835" 0
"TMK3909" 3
"TMK0822" 0
"TMK0535" 2
"TMK3437" 4
"TMK3937" 2
"TMK0101" 0
"TMK0707" 0
"TMK2231" 0
"TMK0302" 1
"TMKCAMO" 0
"TMSmixed1" 0
"TMKSmixed" 0
"TMKS2810" 3
"TMKS3021" 3
"TMKS3903" 3
"TMKS3614" 3
"TMKS0910" 2
"TMMMC2128" 0
"TMMMC1008" 0
"TMMMC1430" 0
"TMMC3006" 1
"TMMC2437" 0
"TMMI3437" 0
"TMMI3914" 0
"TMMI3935" 0
"TMBP0707" 0
"TMMC3437" 6
"TMMC1406" 0
"TMMC2237" 0
"TMSmixed2" 0
"TMBB3437" 4
"TMBB0628" 2
"TMBB0810" 1
"TMBB3909" 2
"TMBB3914" 3
"TMBB2814" 9
"TMBB2830" 0
"TMBB2205" 0
"TMFRIS40" 0
"TMFRIS28" 1
"TMFRIS10" 0
"TMFRIS15" 0
"TMFRIS11" 0
"TMFRIS35" 0
"TMFRIS06" 0
"TMFRIS24" 0
"TMFRIS34" 0
"TMFRIS37" 0
"TMKB24" 1
"TMKB06" 1
"TMKB21" 1
"TMKB28" 1
"TMKB37" 1
"TMKB10" 1
"TMMNET07" 1
"TMTFS" 12
"TMBP0209" 0
"TMBP4009" 0
"TMM3914" 3
"TMM0101" 0
"TMBP2130" 0
"TMBP0708" 1
"TMBP2422" 1
"TMBP3914" 1
"TMBP0335" 2
"TMMNET01" 1
"TMS34" 57
"TMS28" 51
"TMS05" 37
"TMFRIS07" 0
"TMS2831" 0
"TMMC2837" 2
"TMMI2809" 0
"TMMI1807" 0
"TMS2814" 2
"TMS1807" 0
"TMS1007" 12
"TMS2809" 17
"TMS0603" 0
"TMD1807" 0
"TMD1007" 8
"TMD2809" 0
"TMD0603" 1
"TMM2814" 0
"TMM0603" 0
"TMS0515" 0
"TMD0602" 3
"TMD2221" 1
"TMD2110" 1
"TMD1411" 5
"TMM3437" 0
"TMS2806" 0
"TMD0515" 0
"TMD0510" 8
"TMS0139" 0
"TMS2811" 0
"TMS4039" 0
"TMS3539" 0
"TMS3909" 2
"TMS3640" 0
"TMD0734" 0
"TMD3502" 2
"TMD0111" 1
"TMK0709" 0
"TMK3901" 1
"TMS3021" 4
"TMS0637" 1
"TMD0637" 2
"TMD3006" 3
"TMMI3710" 0
"TMMI0939" 0
"TMMI2130" 0
"TMS0614" 0
"TMS3906" 0
"TMD3439" 2
"TMD0635" 4
"TMD3909" 10
"TMS3534" 2
"TMS0628" 0
"TMS3506" 1
"TMS3706" 0
"TMS2106" 0
"TMS3134" 0
"TMS0511" 0
"TMS1440" 0
"TMS3521" 0
"TMS0609" 0
"TMS0906" 0
"TMS0207" 0
"TMS3037" 0
"TMS0639" 0
"TMS24" 26
"TMS06" 41
"TMS07" 34
"TMD3514" 5
"TMD3534" 17
"TMD0628" 0
"TMD3506" 0
"TMD3706" 0
"TMD3134" 0
"TMD0511" 0
"TMD1440" 0
"TMD3521" 0
"TMD3035" 0
"TMS1403" 2
"TMD3021" 12
"TMD1739" 2
"TMD3510" 5
"TMD3424" 3
"TMK3021" 3
"TMK1739" 0
"TMK3510" 1
"TMK3424" 0
"TMK3039" 0
"TMMNET24" 1
"TMS2224" 3
"TMS3035" 0
"TMD1107" 0
"TMS3711" 0
"TMS2207" 0
"TMS1107" 0
"TMS3702" 0
"TMS0807" 0
"TMS1114" 0
"TMS0631" 0
"TMS2134" 0
"TMS3007" 3
"TMD0307" 3
"TMD3135" 0
"TMD2831" 1
"TMD2128" 0
"TMD3028" 1
"TMD3728" 0
"TMD0230" 0
"TMD3102" 0
"TMD1011" 3
"TMD2207" 0
"TMD0210" 0
"TMD1139" 2
"TMD2230" 0
"TMS2130" 6
"TMS3114" 0
"TMS1411" 2
"TMS2110" 1
"TMS2221" 2
"TMS3006" 3
"TMS0335" 3
"TMS3937" 19
"TMS22" 15
"TMD0601" 3
"TMMI3734" 0
"TMCCamo" 0
"TMC06" 0
"TMU2437" 0
"TMU0335" 0
"TMUCAMO" 0
"TMS3708" 0
"TMS0824" 4
"TMS0914" 1
"TMS1436" 1
"TMS0934" 3
"TMS0321" 0
"TMS0203" 1
"TMS2437" 0
"TMS0705" 0
"TMS1506" 0
"TMS3502" 3
"TMD3708" 0
"TMD0824" 2
"TMD0914" 0
"TMD0934" 3
"TMD3007" 0
"TMD0321" 0
"TMD2437" 1
"TMD0705" 0
"TMD1506" 0
"TMK3506" 0
"TMK0335" 1
"TMK0914" 0
"TMK0637" 0
"TMMC1137" 0
"TMMC0637" 2
"TMBB3606" 0
"TMBB3937" 0
"TMBB2810" 0
"TMBB2402" 0
"TMBB1428" 0
"TMKB11" 0
"TMKB03" 0
"TMBP0724" 0
"TMBP3437" 0
"TMBP3506" 0
"TMBP0302" 0
"TMD2408" 6
"TMD2814" 8
"TMD3921" 0
"TMD3935" 27
"TMDCAMO" 1
"TMK0602" 0
"TMK2408" 1
"TMK2814" 0
"TMK3609" 0
"TMS0230" 0
"TMS0602" 1
"TMS0837" 1
"TMS3901" 2
"TMS3921" 0
"TMC15" 0
"TMU2215" 0
"TMU0630" 0
"TMU1118" 0
"TMU3739" 0
"TMDSmixed" 0
"TMD2224" 4
"TMS1130" 0
"TMS0939" 0
"TMS3503" 0
"TMD1130" 0
"TMD3503" 2
"TMD1403" 0
"TMK0203" 0
"TMK1411" 0
"TMK3502" 0
"TMD0939" 0
"TMSSmixed1" 0
"TMMISmixed2" 0
"TMMSmixed" 0
"TMD370534" 0
"TMD053734" 0
"TMD0534" 2
"TMD2830" 1
"TMD3507" 2
"TMD3114" 0
"TMM3909" 0
"TMM2408" 0
"TMM3507" 0
"TMS2414" 0
"TMD1405" 0
"TMD3734" 25
"TMD1535" 0
"TMD1031" 0
"TMMC0106" 1
"TMM2222" 0
"TMD1431" 0
"TMD0631" 0
"TMD3106" 0
"TMD1034" 0
"TMD0508" 4
"TMD1531" 0
"TMD0535" 10
"TMBP0207" 0
"TMS35" 48
"TMS0228" 0
"TMS0928" 3
"TMBP3710" 0
"TMBP2811" 0
"TMBP2106" 0
"TMBPCA10" 0
"TMMI0335" 2
"TMMI3021" 2
"TMS1140" 3
"TMS4014" 2
"TMS3101" 2
"TMD1140" 4
"TMD4014" 29
"TMD3101" 2
"TMM0335" 2
"TMM3101" 2
"TMBP3503" 0
"TMBP1140" 2
"TMBB0335" 4
"TMD0928" 0
"TMS3636" 0
"TMC28" 1
"TMS0302" 5
"TMS3611" 3
"TMS3431" 3
"TMS1011" 3
"TMS0634" 3
"TMS24CA" 1
"TMS0601" 2
"TMS3736" 5
"TMD243734" 1
"TMD0822" 4
"TMD0302" 4
"TMD3431" 4
"TMD0634" 3
"TMD0834" 0
"TMD2419" 1
"TMD24CA" 1
"TMD3736" 4
"TMK1819" 1
"TMK3431" 1
"TMK1011" 2
"TMK0634" 2
"TMK0934" 1
"TMK2419" 0
"TMK07CA" 0
"TMK24CA" 0
"TMK3006" 2
"TMK0601" 2
"TMBP0837" 0
"TMHSMmixed" 0
"WSHS2222" 0
"WSHS3939" 0
"WSHS2130" 0
"WSHD4040" 0
"WSHD1007" 0
"WSHDCA02" 0
"WSHD2235" 0
"TMS3524" 0
"TMD3524" 2
"TMD0314" 1
"TMS0314" 0
"TMS0237" 0
"TMD0237" 0
"TMS0206" 2
"TMS3402" 2
"TMD0206" 0
"TMS1437" 2
"TMK0202" 0
"TMK0606" 0
"TMK2424" 0
"TMMC2207" 0
"TMHSMImixed" 0
"TMD2206" 2
"TMHS03" 1
"TMDS3508" 0
"TMDS1406" 0
"TMDS0630" 0
"TMDS0721" 0
"TMDS0710" 2
"TMDS2114" 0
"TMDS0302" 1
"TMDS2422" 0
"TMDS2224" 1
"TMMI1421" 0
"TMD0714" 3
"TMD1436" 0
"TMD1534" 0
"TMD1821" 1
"TMK3634" 0
"TMM1402" 0
"TMMMC1501" 0
"TMMMC3501" 0
"TMMC3607" 0
"TMMC0601" 3
"TMMC3401" 0
"TMBB1515" 0
"TMKB34" 0
"TMKB36" 0
"TMKB15" 0
"TMKB07" 0
"TMKB01" 0
"TMKB30" 0
"TMBP0722" 0
"TMHS34" 0
"TMHS18" 0
"TMHS24" 2
"TMHS36" 0
"TMBP0314" 0
"TMBP0705" 0
"TMHS07" 0
"TMBB0101" 0
"TMU3006" 0
"TMU0601" 0
"TMS3537" 12
"TMD3735" 1
"TMMC3737" 0
"TMMC2408" 0
"TMBPCAMO" 0
"TMBB0928" 2
"TMD3537" 25
"TMD1415" 1
"TMD1035" 2
"TMD0835" 2
"TMD2130" 0
"TMS2214" 0
"TMS0901" 0
"TMS3722" 0
"TMD3530" 0
"TMD0922" 0
"TMD2137" 0
"TMBP3530" 0
"TMBP0922" 0
"TMBP3734" 0
"TMBP2137" 0
"TMBP1021" 0
"TMBP1437" 0
"TMBP2214" 0
"TMBP3537" 0
"TMS36" 23
"TMS0702" 0
"TMS0210" 0
"TMS2801" 0
"TMS0834" 0
"TMS3436" 0
"TMS0621" 2
"TMS0722" 0
"TMS243734" 0
"TMD0702" 2
"TMD2822" 0
"TMD2801" 2
"TMD3436" 2
"TMD0621" 0
"TMD0722" 0
"TMK0702" 0
"TMK3914" 5
"TMK0210" 0
"TMK243734" 0
"TMK2822" 0
"TMK2801" 0
"TMK0834" 0
"TMK3436" 0
"TMK0621" 0
"TMK0722" 0
"TMSS2408" 2
"TMSS2814" 0
"TMD0711" 0
"TMD0614" 0
"TMSS1421" 2
"TMSS3511" 2
"TMSS1110" 2
"TMSS3639" 2
"TMSS2837" 2
"TMSS1739" 2
"TMSS0234" 2
"TMDS4007" 1
"TMDS1105" 1
"TMDS3635" 1
"TMDS1110" 1
"TMDS0928" 1
"TMDS0539" 1
"TMDS3009" 1
"TMDS0910" 1
"TMDS3934" 1
"TMDS3510" 1
"TMDS2835" 1
"TMDS3536" 1
"TMDS3021" 1
"TMDS1437" 1
"TMDS3007" 1
"TMDS1439" 1
"TMDS3614" 1
"TMDS2107" 2
"TMDS0234" 2
"TMDS3505" 2
"TMDS0921" 2
"TMDS3139" 2
"TMDS1428" 2
"TMDS0822" 2
"TMKS0807" 3
"TMKS2224" 2
"TMKS3437" 6
"TMKS2809" 2
"TMMC1428" 1
"TMMC3537" 2
"TMMC0107" 9
"TMBP2408" 0
